team_id,team,year,wins,losses,win_%,runs_scored,runs_allowed,pythag_win_estimate,model_pythag_win_%
201823,bal,2018,47,115,0.2901234567901235,622,892,0.32716134989869333,0.3417898500234696
201909,det,2019,47,113,0.29375,579,910,0.2881708802492133,0.30536924454316966
201923,bal,2019,54,107,0.33540372670807456,725,976,0.35558425410346767,0.36809785706020764
201903,mia,2019,56,104,0.35,605,796,0.36615645016560944,0.37784065747565443
201806,kca,2018,58,104,0.3580246913580247,638,833,0.36972640478575897,0.381125885603128
201906,kca,2019,58,103,0.36024844720496896,686,865,0.3861075580417469,0.3961729013676721
201626,min,2016,60,102,0.3703703703703704,722,888,0.3979789712847794,0.4070517397550181
201821,cha,2018,62,100,0.382716049382716,656,848,0.37438752783964363,0.3854118974400076
201505,phi,2015,63,99,0.3888888888888889,626,809,0.3745146255054441,0.38552871475600176
201809,det,2018,63,99,0.3888888888888889,629,796,0.3843947624354267,0.3946016120829178
201803,mia,2018,63,98,0.39130434782608703,589,809,0.34643529771260695,0.3596488825864113
201724,sfn,2017,64,98,0.3950617283950617,639,776,0.40407937876114425,0.4126345875403059
201709,det,2017,64,98,0.3950617283950617,735,894,0.40331521410477794,0.41193551718745514
201511,cin,2015,65,97,0.4012345679012346,640,753,0.41941042935299594,0.426645030578153
201816,sdn,2018,66,96,0.4074074074074074,617,767,0.39287682486083275,0.4023786414893683
201705,phi,2017,66,96,0.4074074074074074,690,782,0.4377431906614786,0.44336680784975596
201902,sea,2019,65,94,0.4088050314465409,741,881,0.4143250817586524,0.42200069383698996
201929,tor,2019,66,95,0.40993788819875776,718,825,0.4309864406524605,0.437207362815365
201721,cha,2017,67,95,0.41358024691358025,706,820,0.4257094930459945,0.43239410414317564
201517,col,2015,67,95,0.41358024691358025,736,844,0.4319634586677214,0.43809825237375216
201819,tex,2018,67,95,0.41358024691358025,737,848,0.43031024192072553,0.43659072441464986
201522,atl,2015,67,95,0.41358024691358025,573,760,0.36242244149375946,0.3744019899105588
201811,cin,2018,67,95,0.41358024691358025,696,819,0.41934352917345136,0.42658395002338156
201604,tba,2016,68,94,0.41975308641975306,672,713,0.4704230311275656,0.4731135113633997
201616,sdn,2016,68,94,0.41975308641975306,685,769,0.4424205109250924,0.44762848686112305
201611,cin,2016,68,94,0.41975308641975306,715,853,0.41266626521390276,0.4204851189754018
201613,ari,2016,68,94,0.41975308641975306,751,890,0.41589896327780895,0.42343838465329003
201514,oak,2015,68,94,0.41975308641975306,694,729,0.47541894643743765,0.4776563758657343
201508,mil,2015,68,94,0.41975308641975306,655,737,0.4412956673256572,0.4466037527366916
201622,atl,2016,68,93,0.42236024844720504,649,779,0.4097118600212832,0.41778505357697526
201614,oak,2016,69,93,0.4259259259259259,653,761,0.4240639264865295,0.4308925977184477
201925,pit,2019,69,92,0.42857142857142855,757,908,0.41004913728888387,0.4180933464764652
201728,nyn,2017,70,92,0.4320987654320987,735,863,0.4204105233176186,0.427558071223024
201711,cin,2017,70,92,0.4320987654320987,753,867,0.42997638579871966,0.43628625960517764
201917,col,2019,70,91,0.43478260869565216,831,955,0.43090417612533743,0.4371323464169341
201916,sdn,2019,70,91,0.43478260869565216,682,788,0.42826416025515895,0.4347246122867544
201503,mia,2015,71,91,0.4382716049382716,613,678,0.44977874278983976,0.4543296305922958
201605,phi,2016,71,91,0.4382716049382716,610,796,0.3699851647980146,0.3813639200682399
201716,sdn,2017,71,91,0.4382716049382716,604,816,0.35395935855441885,0.3665985244039846
201921,cha,2019,71,89,0.44375,703,829,0.41830716492445724,0.42563767877965514
201722,atl,2017,72,90,0.4444444444444444,732,821,0.4428791642042707,0.4480462937764845
201824,sfn,2018,73,89,0.4506172839506173,603,699,0.42666596261484846,0.43326672045504333
201829,tor,2018,73,89,0.4506172839506173,709,832,0.42068700022177496,0.42781046391583905
201920,ana,2019,72,87,0.4528301886792453,757,849,0.44290219113498475,0.4480672695873156
201516,sdn,2015,74,88,0.4567901234567901,650,731,0.4415479364296382,0.4468335784604076
201608,mil,2016,74,88,0.4567901234567901,671,732,0.45660377358490567,0.46054207331668107
201620,ana,2016,74,88,0.4567901234567901,717,727,0.4930751243504332,0.4937062567465822
201509,det,2015,74,87,0.4596273291925466,689,803,0.4240359793842059,0.43086709495130915
201911,cin,2019,74,87,0.4596273291925466,698,710,0.4914778917466287,0.492254551406691
201723,bal,2017,75,87,0.462962962962963,743,841,0.43836722701754105,0.44393548846140823
201617,col,2016,75,87,0.462962962962963,845,860,0.49120302691546996,0.49200472746468227
201725,pit,2017,75,87,0.462962962962963,668,731,0.45505896990062056,0.4591361653140306
201714,oak,2017,76,86,0.4691358024691358,739,825,0.4451785455179801,0.45014066938836494
201521,cha,2015,76,86,0.4691358024691358,622,701,0.44049938231895114,0.4458782785524232
201729,tor,2017,76,86,0.4691358024691358,693,784,0.4386216155739539,0.44416730238617835
201828,nyn,2018,77,85,0.4753086419753086,676,707,0.4775962166540381,0.47963594926539915
201502,sea,2015,77,85,0.4753086419753086,656,725,0.4501606237074525,0.45467731041439613
201703,mia,2017,77,85,0.4753086419753086,778,822,0.47252078115924834,0.4750211334444541
201702,sea,2017,77,85,0.4753086419753086,749,772,0.484881826471389,0.48625911926216897
201919,tex,2019,77,84,0.4782608695652174,804,877,0.45665521053728425,0.46058888319783287
201924,sfn,2019,77,84,0.4782608695652174,678,764,0.4405719871954609,0.4459444289258619
201530,bos,2015,78,84,0.4814814814814815,748,753,0.4966689243710459,0.4969725441213842
