team_id,team,year,wins,losses,win_%,singles,doubles,triples,home_runs,walks,sac_fly,sac_bunt,strikeouts,outs,r_o_error,runs,plate_appearances,hits,ab,sing/pa,doub/pa,trip/pa,hr/pa,avg,obs,slugging,ops,so_%,hr_%,walk_%,hits_to_run
201501,chn,2015,97,65,0.5987654320987654,819,286,37,134,455,30,35,1431,2298,69,608,5589,1276,5005,0.14653784219001612,0.051171944891751656,0.006620146716765074,0.023975666487743783,0.2549450549450549,0.317032967032967,0.4071928071928072,0.7224933536408946,0.2560386473429952,0.023975666487743783,0.08140991232778673,2.098684210526316
201502,sea,2015,77,85,0.47530864197530864,941,285,23,181,564,35,32,1285,2449,55,725,5853,1430,5164,0.1607722535451905,0.0486929779600205,0.0039296087476507775,0.03092431231846916,0.2769171185127808,0.3481145251396648,0.44616576297443844,0.7921661100159099,0.21954553220570647,0.03092431231846916,0.09636084059456688,1.9724137931034482
201503,mia,2015,71,91,0.4382716049382716,926,278,29,141,560,55,50,1152,2397,36,678,5629,1374,4923,0.16450524071771186,0.04938710250488541,0.005151891987919701,0.02504885414816131,0.2790981109079829,0.3527266095203356,0.43327239488117003,0.782495941287815,0.20465446793391368,0.02504885414816131,0.09948481080120802,2.0265486725663715
201504,tba,2015,80,82,0.49382716049382713,888,232,19,175,525,40,27,1357,2389,54,642,5719,1314,5060,0.1552719006819374,0.040566532610596256,0.0033222591362126247,0.030599755201958383,0.25968379446640316,0.3292748433303492,0.416798418972332,0.7437317523056654,0.23727924462318586,0.030599755201958383,0.09179926560587515,2.046728971962617
201505,phi,2015,63,99,0.3888888888888889,1068,300,33,191,552,41,46,1153,2429,71,809,5879,1592,5174,0.18166354822248681,0.05102908657935023,0.005613199523728525,0.032488518455519644,0.3076923076923077,0.37443241355221796,0.4891766524932354,0.8609470703881548,0.19612178941996938,0.032488518455519644,0.09389351930600442,1.9678615574783684
201506,kca,2015,95,67,0.5864197530864198,916,262,39,155,541,44,28,1160,2555,43,641,5759,1372,5087,0.1590553915610349,0.045494009376627884,0.006772009029345372,0.026914394860218786,0.26970709652054253,0.339907604832978,0.4279536072341262,0.7652244111833505,0.20142385830873416,0.026914394860218786,0.09393992012502171,2.140405616224649
201507,hou,2015,86,76,0.5308641975308642,871,252,37,148,466,38,27,1280,2444,48,618,5622,1308,5032,0.15492707221629312,0.044823906083244394,0.006581287797936678,0.02632515119174671,0.2599364069952305,0.3226627864678065,0.4129570747217806,0.7334050516003934,0.22767698327997155,0.02632515119174671,0.08288865172536464,2.116504854368932
201508,mil,2015,68,94,0.41975308641975306,936,287,33,176,574,42,48,1260,2316,57,737,5723,1432,5008,0.16355058535733008,0.05014852350165997,0.005766206535034073,0.030753101520181722,0.28594249201277955,0.3593694016481548,0.4618610223642173,0.8185466553656398,0.2201642495194828,0.030753101520181722,0.10029704700331994,1.9430122116689281
201509,det,2015,74,87,0.45962732919254656,958,280,60,193,535,44,44,1100,2550,55,803,5819,1491,5141,0.1646330984705276,0.04811823337343186,0.010311050008592542,0.03316721086097268,0.29002139661544446,0.3569415081042988,0.48045127407119237,0.8346470782669966,0.1890359168241966,0.03316721086097268,0.09194019590995016,1.8567870485678706
201510,was,2015,83,79,0.5123456790123457,953,239,29,145,420,37,52,1344,2267,49,635,5520,1366,4977,0.1726449275362319,0.043297101449275364,0.005253623188405797,0.026268115942028984,0.27446252762708456,0.33092458773392625,0.4215390797669279,0.7502104084382566,0.24347826086956523,0.026268115942028984,0.07608695652173914,2.1511811023622047
201511,cin,2015,65,97,0.4012345679012346,917,317,25,177,602,45,62,1253,2343,55,753,5779,1436,5032,0.1586779719674684,0.054853780930956914,0.004326007959854646,0.030628136355770896,0.28537360890302066,0.3617323393681221,0.4638314785373609,0.8226974760721382,0.21681951894791487,0.030628136355770896,0.10417027167329988,1.907038512616202
201512,lan,2015,91,71,0.5617283950617284,923,229,20,145,433,29,37,1397,2320,44,595,5569,1317,5034,0.16573891183336326,0.04112048841802837,0.003591309032142216,0.026036990483031066,0.26162097735399287,0.3201024327784891,0.4014700039729837,0.7198833955304801,0.2508529358951338,0.026036990483031066,0.07775184054587897,2.2134453781512606
201513,ari,2015,79,83,0.4876543209876543,920,318,30,182,550,45,44,1216,2475,53,713,5834,1450,5141,0.1576962632841961,0.054508056222146044,0.005142269454919438,0.031196434693177923,0.2820462944952344,0.3514320857494289,0.4617778642287493,0.8104528990962527,0.20843332190606786,0.031196434693177923,0.09427494000685636,2.0336605890603088
201514,oak,2015,68,94,0.41975308641975306,951,266,13,172,521,51,34,1179,2463,75,729,5742,1402,5044,0.16562173458725182,0.04632532218739115,0.0022640195053988156,0.029954719609892023,0.2779540047581285,0.34555256064690026,0.4381443298969072,0.7805588598114371,0.20532915360501566,0.029954719609892023,0.09073493556252177,1.9231824417009602
201515,nya,2015,87,75,0.5370370370370371,949,260,25,182,531,38,31,1371,2409,55,698,5858,1416,5196,0.16200068282690339,0.04438374871969956,0.004267668146124957,0.031068624103789688,0.27251732101616627,0.3399685699319015,0.4372594303310239,0.7749870972867914,0.23403892113349267,0.031068624103789688,0.0906452714236941,2.0286532951289398
201516,sdn,2015,74,88,0.4567901234567901,882,268,50,171,571,38,44,1394,2241,50,731,5703,1371,5006,0.1546554445028932,0.046992810801332635,0.00876731544800982,0.02998421883219358,0.2738713543747503,0.34821588667742515,0.44986016779864163,0.7957194732305205,0.24443275469051376,0.02998421883219358,0.10012274241627214,1.8755129958960328
