team_id,team,year,wins,losses,win_%
201908,mil,2019,88,72,0.55
201909,det,2019,47,113,0.29375
201910,was,2019,91,69,0.56875
201911,cin,2019,74,87,0.45962732919254656
201912,lan,2019,105,56,0.6521739130434783
201913,ari,2019,84,77,0.5217391304347826
201914,oak,2019,96,62,0.6075949367088608
201915,nya,2019,103,58,0.639751552795031
201916,sdn,2019,70,91,0.43478260869565216
201917,col,2019,70,91,0.43478260869565216
201918,cle,2019,92,68,0.575
201919,tex,2019,77,84,0.4782608695652174
201920,ana,2019,72,87,0.4528301886792453
201921,cha,2019,71,89,0.44375
201922,atl,2019,97,64,0.6024844720496895
201923,bal,2019,54,107,0.33540372670807456
201924,sfn,2019,77,84,0.4782608695652174
201925,pit,2019,69,92,0.42857142857142855
201926,min,2019,101,60,0.6273291925465838
201927,sln,2019,90,70,0.5625
201928,nyn,2019,85,76,0.5279503105590062
201929,tor,2019,66,95,0.40993788819875776
201930,bos,2019,83,78,0.515527950310559
